Freq(GHz),length of patch in mm,width of patch in mm,Slot length in mm,slot width in mm,s11(dB)
3.55,37,36,3,5,-20.37
3.12,36,28,5,1,-17.4
4.03,57,29,1,3,-25.96
3.77,31,42,4,2,-23.85
3.75,50,25,5,4,-25.2
4.14,32,30,1,3,-23.35
4.87,51,25,2,3,-17.93
4.59,58,44,4,5,-26.19
4.6,30,29,5,0,-18.1
3.46,30,39,2,4,-26.34
3.18,47,42,2,1,-28.54
4.81,59,34,1,3,-23.83
4.86,53,43,3,4,-29.5
4.66,36,34,4,2,-26.23
3.57,46,31,4,4,-21.4
2.75,43,41,2,5,-18.48
2.6,41,48,5,4,-21.78
3.03,33,44,2,0,-22.32
3.72,46,50,0,5,-27.48
4.74,50,50,4,4,-23.65
2.68,51,45,5,4,-26.19
2.51,38,37,3,1,-19.73
4.39,50,25,0,3,-18.18
2.92,34,37,4,0,-22.6
4.14,35,45,0,1,-24.22
3.12,32,44,4,3,-19.76
3.24,55,44,5,5,-23.04
4.83,53,40,0,2,-26.81
4.89,55,27,1,0,-27.21
4.87,59,39,1,4,-20.78
4.68,55,38,3,0,-26.21
3.4,33,45,2,2,-18.06
4.96,48,40,3,3,-19.15
2.62,55,29,2,4,-24.0
2.67,43,34,2,0,-25.52
4.99,58,40,5,4,-27.47
3.55,48,39,5,1,-23.29
3.07,50,39,1,3,-28.84
2.49,38,40,4,4,-18.2
2.53,44,37,3,0,-26.72
4.65,57,40,0,5,-23.88
3.61,40,36,3,0,-19.19
3.93,36,47,0,3,-27.34
3.38,54,30,1,0,-27.15
3.87,54,27,4,2,-19.46
4.24,47,39,2,3,-28.18
4.16,31,41,5,1,-26.9
2.98,58,38,5,3,-23.45
2.87,35,30,2,5,-25.99
4.48,30,35,2,4,-20.24
4.11,35,32,4,5,-19.36
2.95,57,49,1,1,-21.86
4.25,41,47,1,5,-23.55
4.11,45,47,1,5,-19.88
2.41,52,50,2,0,-22.1
3.2,59,33,0,3,-26.02
4.8,60,32,3,0,-23.5
3.49,52,37,4,4,-22.11
4.46,47,31,5,1,-24.8
3.62,48,25,5,4,-26.8
3.67,45,35,0,4,-18.1
2.56,48,46,0,4,-25.81
4.32,51,26,1,2,-26.32
4.29,37,34,3,1,-17.93
2.61,45,50,0,4,-26.73
3.43,31,31,5,0,-18.91
3.02,33,33,1,2,-20.1
3.15,57,33,0,3,-20.89
2.71,46,50,0,4,-19.87
3.93,44,28,0,0,-17.31
3.79,40,44,3,1,-26.75
3.17,53,36,1,0,-25.86
2.44,36,50,4,2,-19.59
4.01,38,34,2,3,-18.15
2.89,57,47,0,0,-25.39
4.17,34,27,1,4,-24.32
3.55,34,34,3,1,-17.13
2.86,49,44,2,5,-28.87
4.41,60,41,2,3,-26.93
2.73,39,43,1,3,-18.74
4.71,56,45,3,0,-23.39
3.85,51,29,3,4,-18.09
3.54,52,31,4,3,-24.6
4.66,47,39,0,2,-19.72
4.14,34,47,1,1,-19.72
2.84,51,38,1,5,-24.08
2.74,37,47,4,3,-28.29
4.33,53,39,5,5,-21.78
4.18,52,42,5,1,-23.48
3.78,44,29,2,1,-25.7
3.63,51,33,1,0,-22.11
2.45,52,43,4,3,-24.45
4.85,36,30,5,3,-24.32
4.96,33,30,3,5,-23.76
3.49,51,42,1,2,-25.93
4.41,52,44,4,0,-28.16
3.83,36,41,5,2,-27.3
3.47,51,32,4,1,-25.45
3.12,48,48,1,5,-23.3
4.72,37,31,0,5,-17.99
3.22,43,40,5,4,-21.4
4.74,31,47,1,2,-23.21
4.56,35,29,4,0,-23.38
3.01,47,26,2,2,-22.86
4.47,51,25,2,2,-20.92
2.59,47,28,2,1,-17.66
4.14,56,44,1,2,-25.04
2.56,32,29,0,0,-25.56
2.59,53,38,1,2,-25.62
4.94,45,50,3,5,-28.61
3.89,60,36,2,5,-26.99
3.49,58,41,0,0,-21.62
3.79,33,32,1,0,-18.86
3.87,31,36,2,3,-26.15
4.03,47,40,1,0,-27.98
3.74,34,35,3,3,-17.46
2.46,53,44,5,2,-27.67
3.06,37,28,1,5,-26.14
4.23,39,50,3,1,-21.67
3.08,48,31,1,4,-19.96
3.78,39,37,4,0,-20.74
4.94,33,31,3,5,-24.01
3.3,59,33,3,3,-25.82
4.09,44,44,5,4,-28.78
4.63,45,45,0,3,-26.81
3.9,47,40,5,2,-26.2
4.0,52,50,0,5,-23.61
3.98,31,38,3,2,-20.62
2.43,42,40,3,0,-18.46
4.62,31,43,5,4,-18.57
3.99,36,46,3,4,-23.1
3.4,58,30,5,2,-23.46
2.69,58,25,3,1,-22.17
4.74,44,43,5,5,-22.88
3.45,33,27,1,1,-17.6
3.72,30,32,5,5,-19.82
3.52,43,27,3,2,-24.05
4.01,42,40,5,0,-21.74
2.94,49,25,5,5,-18.81
2.85,57,32,1,3,-25.61
3.2,32,31,3,4,-16.83
3.78,44,38,5,5,-22.92
3.99,58,32,1,3,-26.75
2.6,58,26,0,5,-25.06
4.92,45,37,2,2,-21.0
3.86,57,26,1,1,-20.33
3.04,46,43,2,5,-27.13
3.68,34,38,4,0,-21.96
3.66,37,39,2,0,-23.38
2.93,46,37,0,4,-27.81
2.45,42,37,1,5,-23.9
2.53,55,49,1,0,-22.55
4.77,40,35,1,0,-18.49
3.81,30,44,0,2,-21.56
3.5,50,39,3,1,-28.45
4.52,38,45,2,4,-26.49
4.66,54,31,1,4,-20.2
4.14,31,32,5,0,-19.76
2.45,54,39,5,5,-25.07
3.59,35,41,2,5,-24.42
4.65,44,50,2,2,-23.83
4.78,35,29,3,5,-21.46
4.56,57,32,1,5,-19.21
2.93,56,40,5,0,-21.18
3.81,55,32,0,1,-24.22
2.94,54,30,5,4,-28.09
4.1,43,40,4,1,-20.22
2.76,52,43,4,0,-26.41
4.31,41,45,3,0,-19.34
4.73,34,40,1,0,-25.05
2.47,40,44,1,4,-19.78
4.33,46,26,5,4,-26.35
3.73,35,41,5,1,-27.31
3.47,40,45,2,1,-27.32
4.73,53,34,0,5,-19.42
3.14,58,43,1,0,-25.04
4.2,55,28,3,1,-22.34
2.79,43,45,4,1,-22.46
3.57,42,49,3,1,-28.77
3.99,50,37,5,4,-19.57
3.91,52,32,5,1,-24.3
2.75,31,43,0,1,-22.82
